City,Country,CDP Region,Access,Number of times reporting,C40 City,GCoM City,Primary protocol/framework used to compile main inventory,Gases included in main inventory,Emissions Question Number,Emissions Question Name,Emissions Column Number,Emissions Column Name,Emissions Row Number,Emissions Row Name,Emissions Response Answer,Emissions Notation Key,Emissions Description,Emissions Data Group,Emissions Rank,Year covered by main inventory,Boundary of main inventory relative to jurisdiction boundary,Population in year covered by main inventory,Tool used to compile main inventory
Chennai,India,South Asia,public,7,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),8,Transportation â€“ Scope 1,2244453.0,,0801 Transportation â€“ Scope 1,SectorTotal,2,2018,Same - covers entire jurisdiction and nothing else,8500000,CIRIS
Chennai,India,South Asia,public,7,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),15,"Agriculture, Forestry and Land Use â€“ Scope 1",0.0,,"1501 Agriculture, Forestry and Land Use â€“ Scope 1",SectorTotal,0,2018,Same - covers entire jurisdiction and nothing else,8500000,CIRIS
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),14,Industrial Processes and Product Use â€“ Scope 1,0.0,,1401 Industrial Processes and Product Use â€“ Scope 1,SectorTotal,0,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),1,Total Scope 1 emissions (excluding generation of grid-supplied energy),7571029.0,,0101 Total Scope 1 emissions (excluding generation of grid-supplied energy),SourceTotal,2,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
Delhi,India,South Asia,public,7,True,False,Regional or country/area specific methodology,HFCs; NF3; SF6,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),1,Total Scope 1 emissions (excluding generation of grid-supplied energy),21.53,,0101 Total Scope 1 emissions (excluding generation of grid-supplied energy),SourceTotal,1,2021,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Towns like Ghaziabad, Gurugram, Faridabad, and NOIDA's rapid growth near Delhi has caused substantial air pollution. It's crucial to evaluate pollutants not only within Delhi but also across the surrounding NCR.",3118100,"Other, please specify: Landsat-8 satellite  data is used for assessment of LULC in NCR region is acquired from the USGS earth explorer , Pollution control committees databses"
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),11,Waste: waste generated within the city boundary â€“ Scope 1,1979627.0,,1101 Waste: waste generated within the city boundary â€“ Scope 1,SectorTotal,3,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),5,Stationary Energy: energy use â€“ Scope 1,1813767.0,,0501 Stationary Energy: energy use â€“ Scope 1,SectorTotal,4,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
Chennai,India,South Asia,public,7,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),13,Waste: waste generated outside the city boundary â€“ Scope 1,0.0,,1301 Waste: waste generated outside the city boundary â€“ Scope 1,SectorTotal,0,2018,Same - covers entire jurisdiction and nothing else,8500000,CIRIS
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),8,Transportation â€“ Scope 1,3777635.0,,0801 Transportation â€“ Scope 1,SectorTotal,2,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
Bangalore,India,South Asia,public,8,True,False,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CH4; CO2; N2O,2.1b,Provide a breakdown of your community-wide emissions by scope. If the inventory has been developed using the Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) you will also be requested to provide a breakdown by sector.,1,Emissions (metric tonnes CO2e),15,"Agriculture, Forestry and Land Use â€“ Scope 1",0.0,,"1501 Agriculture, Forestry and Land Use â€“ Scope 1",SectorTotal,0,2019,Same - covers entire jurisdiction and nothing else,11361635,CIRIS
